[00:23:26] [INFO] received Windows console close event; shutting log-core down
[00:32:17] [INFO] received Windows console close event; shutting log-core down
[00:40:03] [INFO] received Windows console close event; shutting log-core down
[01:18:51] [INFO] received Windows console close event; shutting log-core down
[01:23:26] [INFO] received Windows console close event; shutting log-core down
[01:27:21] [INFO] received Windows console close event; shutting log-core down
[01:30:05] [INFO] received Windows console close event; shutting log-core down
[01:31:12] [INFO] received Windows console close event; shutting log-core down
[01:32:49] [INFO] received Windows console close event; shutting log-core down
[01:37:02] [INFO] received Windows console close event; shutting log-core down
[01:39:26] [INFO] received Windows console close event; shutting log-core down
[01:44:22] [INFO] received Windows console close event; shutting log-core down
[01:47:25] [INFO] received Windows console close event; shutting log-core down
[01:52:50] [INFO] received Windows console close event; shutting log-core down
[01:55:39] [INFO] received Windows console close event; shutting log-core down
[01:58:33] [INFO] received Windows console close event; shutting log-core down
[02:04:20] [INFO] received Windows console close event; shutting log-core down
[17:45:59] [INFO] received Windows console close event; shutting log-core down
[02:54:10] [INFO] received Windows console close event; shutting log-core down
[14:46:21] [INFO] received Windows console close event; shutting log-core down
[15:20:21] [INFO] received Windows console close event; shutting log-core down
[15:24:58] [INFO] received Windows console close event; shutting log-core down
[15:30:20] [INFO] received Windows console close event; shutting log-core down
[15:40:14] [INFO] received Windows console close event; shutting log-core down
[15:43:14] [INFO] received Windows console close event; shutting log-core down
[15:44:44] [INFO] received Windows console close event; shutting log-core down
[15:53:27] [INFO] received Windows console close event; shutting log-core down
[16:07:10] [INFO] received Windows console close event; shutting log-core down
[16:09:42] [INFO] received Windows console close event; shutting log-core down
[16:10:50] [INFO] received Windows console close event; shutting log-core down
[16:11:54] [INFO] received Windows console close event; shutting log-core down
[16:13:57] [INFO] received Windows console close event; shutting log-core down
[16:16:10] [INFO] received Windows console close event; shutting log-core down
[16:17:55] [INFO] received Windows console close event; shutting log-core down
